source_keco,source_job,emerging_name,risk,why
2230,프로그래머,MLOps 엔지니어,0.18,모델 배포·운영은 도메인 책임 영역 (AI 자동화 잔존)
2230,프로그래머,데이터 엔지니어,0.22,데이터 파이프라인·인프라는 AI 자동화 어려움
2230,프로그래머,AI 시스템 감사역,0.27,LLM 출력 검증·윤리 점검은 신생 인간 영역
2241,데이터분석가,데이터 거버넌스 전문가,0.22,정책·규제 해석은 자동화 한계
2241,데이터분석가,비즈니스 트랜슬레이터,0.25,도메인↔기술 통역은 비루틴
2241,데이터분석가,데이터 윤리 컨설턴트,0.20,AI 윤리·편향 점검 신생 직업
2243,AI엔지니어,AI 시스템 감사역,0.27,LLM 출력 검증·윤리 점검은 신생 인간 영역
2243,AI엔지니어,프롬프트 아키텍트,0.30,복잡 다중 에이전트 설계는 인간 영역
2243,AI엔지니어,휴먼-AI 협업 디자이너,0.21,UX·인간 요인 분석 자동화 어려움
2231,게임개발자,게임 내러티브 디자이너,0.25,스토리·캐릭터 창작은 인간 강점
2231,게임개발자,라이브 서비스 PM,0.30,커뮤니티 운영 사회적 과업
2231,게임개발자,XR 콘텐츠 디자이너,0.28,체험 공간 디자인 신생 영역
2851,UX 디자이너,서비스 디자이너,0.26,조직 변화·시스템 설계
2851,UX 디자이너,접근성 전문가,0.20,법·인권 해석 자동화 어려움
2851,UX 디자이너,리서치 운영 매니저,0.28,사용자 인터뷰 진행 인간 영역
2412,약사,약물치료 전문가 (임상약사),0.22,복약 상담 인간 신뢰 필요
2412,약사,제약 규제 전문가,0.30,식약처 규제 해석
2419,한의사,통합의학 코디네이터,0.25,환자 케어 코디네이션
2415,수의사,동물 행동 전문가,0.20,행동 진단 비루틴
2415,수의사,야생동물 보전 컨설턴트,0.18,생태 평가 인간 판단
2721,공인회계사,ESG 회계 전문가,0.30,지속가능성 보고 기준 해석
2721,공인회계사,법무·세무 통합 컨설턴트,0.35,통합 자문 인간 신뢰
2722,세무사,국제 조세 전문가,0.32,각국 법령 해석
2722,세무사,세무 분쟁 조정관,0.25,중재·협상 인간 영역
3122,은행원·금융종사자,프라이빗 뱅커 (PB),0.30,고액 자산가 신뢰 관계
3122,은행원·금융종사자,ESG 투자 어드바이저,0.28,지속가능성 평가
2823,마케팅 전문가,브랜드 전략가,0.25,장기 정체성 설계
2823,마케팅 전문가,커뮤니티 매니저,0.28,사용자 커뮤니티 운영
2831,방송 PD,크리에이터 매니저,0.28,크리에이터 발굴·육성
2842,작가,스토리 컨설턴트,0.22,IP 기획 비루틴
2832,유튜버·크리에이터,크리에이터 비즈니스 매니저,0.30,수익화·계약 자문
2841,가수·배우,공연 큐레이터,0.25,큐레이션 인간 안목
4411,요리사,푸드 큐레이터,0.20,미식 트렌드 분석
4411,요리사,농장-식탁 코디네이터,0.18,지속가능 공급망 운영
4412,제빵사,베이커리 컨설턴트,0.30,매장 운영 자문
4222,헤어 디자이너,이미지 컨설턴트,0.25,개인 브랜딩 자문
2872,번역가,로컬라이제이션 매니저,0.28,게임·앱 현지화 운영
2872,번역가,컬처럴 컨설턴트,0.20,문화 해석 인간 전문
4321,항공기 조종사,항공 안전 감독관,0.20,규제·심사 인간 책임
4321,항공기 조종사,UAM/eVTOL 운항 관리자,0.25,신생 도심 항공 운영
4221,호텔 매니저,고객 경험 디렉터,0.28,VIP 응대 비루틴
4223,여행 가이드,체험 큐레이터,0.20,로컬 경험 설계
2531,사회복지사,위기관리 코디네이터,0.22,위기개입 인간 판단
2532,상담심리사,디지털 웰니스 코치,0.25,온라인 멘토링
2511,초등학교 교사,교육 콘텐츠 디자이너,0.25,교실 외 학습 설계
2512,중·고등학교 교사,진로교육 코디네이터,0.28,진로지도 인간 신뢰
2513,보육교사,영유아 발달 전문가,0.22,발달 평가 인간 판단
2611,변호사,컴플라이언스 컨설턴트,0.32,기업 준법 자문
2612,판사,분쟁 조정관,0.30,중재·협상
3121,일반공무원,공공 데이터 분석가,0.30,데이터 기반 정책 보조
4111,경찰관,사이버 범죄 분석관,0.28,디지털 포렌식
4112,소방관,재난 안전 컨설턴트,0.22,재난 대비·교육
4131,군인 (장교),국방 사이버보안 전문가,0.30,사이버 작전 분석
2411,의사,디지털 헬스 컨설턴트,0.25,원격의료 운영
2430,간호사,간호 코디네이터,0.22,환자 케어 흐름 설계
2353,기계공학자,기계학습 운영 엔지니어 (MLOps),0.20,산업 자동화 운영
2354,전기·전자공학자,스마트 그리드 전문가,0.25,에너지 분산 시스템
2356,화학공학자,그린 케미스트리 컨설턴트,0.22,친환경 공정 설계
2351,건축가,스마트시티 컨설턴트,0.28,도시 데이터 융합
2413,치과의사,구강건강 코디네이터,0.22,예방·교육 중심
2860,프로 운동선수,스포츠 데이터 분석가,0.30,경기 데이터 해석
2417,영양사,임상 영양 전문가,0.20,질환별 맞춤 영양
2422,물리치료사,재활 디지털 코치,0.25,원격 재활 가이드
4322,항공 승무원,승객 경험 디렉터,0.28,VIP·이상상황 응대
